79612002944780090100900295749                                   183425    85849Brevard County (part)
79812002944780090100900295749             1315002404089          17140     8603Cocoa city
79912002944780090100900295749             1315002404089062103     2044      918Census Tract 621.03 (part)
79912002944780090100900295749             1315002404089062107      214       92Census Tract 621.07 (part)
79912002944780090100900295749             1315002404089062301     2926     1354Census Tract 623.01 (part)
79912002944780090100900295749             1315002404089062302     2578     1454Census Tract 623.02 (part)
79912002944780090100900295749             1315002404089062400     3358     1622Census Tract 624 (part)
79912002944780090100900295749             1315002404089062500      381      152Census Tract 625 (part)
79912002944780090100900295749             1315002404089062600     2688     1180Census Tract 626 (part)
79912002944780090100900295749             1315002404089071200      698      408Census Tract 712 (part)
79912002944780090100900295749             1315002404089071500     2253     1423Census Tract 715 (part)
79812002944780090100900295749             1322502402784           5925     2553Cocoa West CDP
79912002944780090100900295749             1322502402784062301      557      314Census Tract 623.01 (part)
79912002944780090100900295749             1322502402784062400     2913     1225Census Tract 624 (part)
79912002944780090100900295749             1322502402784062500     1904      783Census Tract 625 (part)
79912002944780090100900295749             1322502402784062600      551      231Census Tract 626 (part)
79812002944780090100900295749             4577502403294           7058     3530Mims CDP
79912002944780090100900295749             4577502403294060101     3274     1424Census Tract 601.01 (part)
79912002944780090100900295749             4577502403294060102     2738     1462Census Tract 601.02 (part)
79912002944780090100900295749             4577502403294060300     1046      644Census Tract 603 (part)
79812002944780090100900295749             5870002403439          12267     5183Port St. John CDP
79912002944780090100900295749             5870002403439062106     2978     1520Census Tract 621.06 (part)
79912002944780090100900295749             5870002403439062108     6626     2615Census Tract 621.08
79912002944780090100900295749             5870002403439062109     2663     1048Census Tract 621.09 (part)
79812002944780090100900295749             6150002404638          24926    11240Rockledge city
79912002944780090100900295749             6150002404638062500        2        2Census Tract 625 (part)
79912002944780090100900295749             6150002404638062800     2360     1284Census Tract 628 (part)
79912002944780090100900295749             6150002404638062900     4860     2266Census Tract 629 (part)
79912002944780090100900295749             6150002404638063000     2531      998Census Tract 630 (part)
79912002944780090100900295749             6150002404638063102     3040     1586Census Tract 631.02 (part)
79912002944780090100900295749             6150002404638063104     3446     1486Census Tract 631.04 (part)
79912002944780090100900295749             6150002404638063105     8687     3618Census Tract 631.05 (part)
79812002944780090100900295749             6552502402846           3411     1728Sharpes CDP
79912002944780090100900295749             6552502402846062106      293      180Census Tract 621.06 (part)
79912002944780090100900295749             6552502402846062107     3093     1540Census Tract 621.07 (part)
79912002944780090100900295749             6552502402846062109       25        8Census Tract 621.09 (part)
79812002944780090100900295749             7190002405592          43761    22729Titusville city (part)
79912002944780090100900295749             7190002405592060200     1856      796Census Tract 602 (part)
79912002944780090100900295749             7190002405592060300     2144      942Census Tract 603 (part)
