795530177980410100                                              201140    90665Whatcom County--Bellingham City PUMA
79653017798041010007301529224                                   201140    90665Whatcom County
79953017798041030001701531818             2015502410391950600     3493     1320Census Tract 9506 (part)
79953017798041030001701531818             2015502410391950700     3689     1446Census Tract 9507 (part)
79953017798041030001701531818             2015502410391950800     2163      806Census Tract 9508 (part)
79853017798041030001701531818             4280002412946            320      169Mansfield town
79953017798041030001701531818             4280002412946950100      320      169Census Tract 9501 (part)
79853017798041030001701531818             5918002410975            788      277Rock Island city
79953017798041030001701531818             5918002410975950300      788      277Census Tract 9503 (part)
79853017798041030001701531818             7651002413455           1138      482Waterville town
79953017798041030001701531818             7651002413455950200     1138      482Census Tract 9502 (part)
79853017798041030001701531818             9999999999999          20399     8962Remainder of Douglas County
79953017798041030001701531818             9999999999999950100     3583     2077Census Tract 9501 (part)
79953017798041030001701531818             9999999999999950200     1086      854Census Tract 9502 (part)
79953017798041030001701531818             9999999999999950300     5269     2081Census Tract 9503 (part)
79953017798041030001701531818             9999999999999950400     5811     2292Census Tract 9504 (part)
79953017798041030001701531818             9999999999999950500        0        0Census Tract 9505 (part)
79953017798041030001701531818             9999999999999950600      960      327Census Tract 9506 (part)
79953017798041030001701531818             9999999999999950700      661      246Census Tract 9507 (part)
79953017798041030001701531818             9999999999999950800     3029     1085Census Tract 9508 (part)
795530177980410400                                              105203    55740Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA
79653017798041040001901531821                                     7551     4403Ferry County
79853017798041040001901531821             0434702631207            146       66Barney's Junction CDP
79953017798041040001901531821             0434702631207970100      146       66Census Tract 9701 (part)
79853017798041040001901531821             0437002631208             59       42Barstow CDP
79953017798041040001901531821             0437002631208970100       59       42Census Tract 9701 (part)
79853017798041040001901531821             0748502631347             34       16Boyds CDP
79953017798041040001901531821             0748502631347970100       34       16Census Tract 9701 (part)
79853017798041040001901531821             1616502586732            118       59Curlew CDP
79953017798041040001901531821             1616502586732970100      118       59Census Tract 9701 (part)
79853017798041040001901531821             1617002631348            462      377Curlew Lake CDP
79953017798041040001901531821             1617002631348970200      462      377Census Tract 9702 (part)
79853017798041040001901531821             1658502631349             34       21Danville CDP
79953017798041040001901531821             1658502631349970100       34       21Census Tract 9701 (part)
79853017798041040001901531821             3310502408416            409      175Inchelium CDP
79953017798041040001901531821             3310502408416940000      409      175Census Tract 9400 (part)
79853017798041040001901531821             3496002584987            234       98Keller CDP
79953017798041040001901531821             3496002584987940000      234       98Census Tract 9400 (part)
79853017798041040001901531821             3870502631350              1        3Laurier CDP
79953017798041040001901531821             3870502631350970100        1        3Census Tract 9701 (part)
79853017798041040001901531821             4231002631351             28       17Malo CDP
79953017798041040001901531821             4231002631351970100       18       12Census Tract 9701 (part)
79953017798041040001901531821             4231002631351970200       10        5Census Tract 9702 (part)
79853017798041040001901531821             5183002586743            115       63Orient CDP
79953017798041040001901531821             5183002586743970100      115       63Census Tract 9701 (part)
79853017798041040001901531821             5440502631352            145       67Pine Grove CDP
79953017798041040001901531821             5440502631352970200      145       67Census Tract 9702 (part)
79853017798041040001901531821             5785002410927           1073      536Republic city
79953017798041040001901531821             5785002410927970200     1073      536Census Tract 9702 (part)
79853017798041040001901531821             7199502631209             49       59Torboy CDP
79953017798041040001901531821             7199502631209970200       49       59Census Tract 9702 (part)
79853017798041040001901531821             7306502585047             59      237Twin Lakes CDP
79953017798041040001901531821             7306502585047940000       59      237Census Tract 9400 (part)
79853017798041040001901531821             9999999999999           4585     2567Remainder of Ferry County
79953017798041040001901531821             9999999999999940000     1029      479Census Tract 9400 (part)
79953017798041040001901531821             9999999999999970100     2169     1272Census Tract 9701 (part)
79953017798041040001901531821             9999999999999970200     1387      816Census Tract 9702 (part)
79653017798041040004701531928                                    41120    22245Okanogan County
79853017798041040004701531928             0783502409903           2370      730Brewster city
79953017798041040004701531928             0783502409903970800     2370      730Census Tract 9708 (part)
79853017798041040004701531928             1431002413236            210      189Conconully town
79953017798041040004701531928             1431002413236970500      210      189Census Tract 9705 (part)
79853017798041040004701531928             1511502413249            911      440Coulee Dam town (part)
79953017798041040004701531928             1511502413249940100      911      440Census Tract 9401 (part)
79853017798041040004701531928             1788002584967             78       23Disautel CDP
79953017798041040004701531928             1788002584967940200       78       23Census Tract 9402 (part)
79853017798041040004701531928             2148502412478            238      112Elmer City town
79953017798041040004701531928             2148502412478940100      238      112Census Tract 9401 (part)
79853017798041040004701531928             4035002586736            159       93Loomis CDP
79953017798041040004701531928             4035002586736970300       51       28Census Tract 9703 (part)
79953017798041040004701531928             4035002586736970400      108       65Census Tract 9704 (part)
79853017798041040004701531928             4238002586738            487      221Malott CDP
79953017798041040004701531928             4238002586738970700      487      221Census Tract 9707 (part)
79853017798041040004701531928             4535502586740             68       59Methow CDP
79953017798041040004701531928             4535502586740970800       21       20Census Tract 9708 (part)
79953017798041040004701531928             4535502586740971000       47       39Census Tract 9710 (part)
79853017798041040004701531928             4854002413040            236       77Nespelem town
79953017798041040004701531928             4854002413040940100      236       77Census Tract 9401 (part)
79853017798041040004701531928             4855002408915            253       94Nespelem Community CDP
79953017798041040004701531928             4855002408915940100      253       94Census Tract 9401 (part)
79853017798041040004701531928             5000702408944            688      213North Omak CDP
79953017798041040004701531928             5000702408944940200      688      213Census Tract 9402 (part)
79853017798041040004701531928             5092002411309           2552     1051Okanogan city
79953017798041040004701531928             5092002411309940200        8        5Census Tract 9402 (part)
79953017798041040004701531928             5092002411309970600       31       17Census Tract 9706 (part)
79953017798041040004701531928             5092002411309970700     2513     1029Census Tract 9707 (part)
79853017798041040004701531928             5134002411320           4845     2168Omak city
79953017798041040004701531928             5134002411320940200      800      316Census Tract 9402 (part)
79953017798041040004701531928             5134002411320970500       10        2Census Tract 9705 (part)
79953017798041040004701531928             5134002411320970600     4035     1850Census Tract 9706 (part)
79853017798041040004701531928             5197002411338           1686      797Oroville city
79953017798041040004701531928             5197002411338970300     1686      797Census Tract 9703 (part)
79853017798041040004701531928             5372002411382            667      276Pateros city
79953017798041040004701531928             5372002411382970800      667      276Census Tract 9708 (part)
79853017798041040004701531928             5879502412556            280      154Riverside town
79953017798041040004701531928             5879502412556970500      280      154Census Tract 9705 (part)
79853017798041040004701531928             7189002412082           1032      511Tonasket city
79953017798041040004701531928             7189002412082970400     1032      511Census Tract 9704 (part)
79853017798041040004701531928             7308002413408            919      524Twisp town
79953017798041040004701531928             7308002413408971000      919      524Census Tract 9710 (part)
79853017798041040004701531928             7938002413503            394      300Winthrop town
79953017798041040004701531928             7938002413503970900      394      300Census Tract 9709 (part)
79853017798041040004701531928             9999999999999          23047    14213Remainder of Okanogan County
79953017798041040004701531928             9999999999999940100     1187      451Census Tract 9401 (part)
79953017798041040004701531928             9999999999999940200     1555      733Census Tract 9402 (part)
79953017798041040004701531928             9999999999999970300     5571     4461Census Tract 9703 (part)
79953017798041040004701531928             9999999999999970400     2577     1144Census Tract 9704 (part)
79953017798041040004701531928             9999999999999970500     1821     1029Census Tract 9705 (part)
79953017798041040004701531928             9999999999999970600     2648     1055Census Tract 9706 (part)
79953017798041040004701531928             9999999999999970700     1286      573Census Tract 9707 (part)
79953017798041040004701531928             9999999999999970800     1872      854Census Tract 9708 (part)
79953017798041040004701531928             9999999999999970900     1826     2049Census Tract 9709 (part)
79953017798041040004701531928             9999999999999971000     2704     1864Census Tract 9710 (part)
79653017798041040005101529157                                    13001     7936Pend Oreille County
79853017798041040005101529157             1634002412397            207      101Cusick town
79953017798041040005101529157             1634002412397970200      207      101Census Tract 9702 (part)
